Standard_Author	Preprints	Score	Rank
Adrian Tett	1	3	12013
Adrian Tisbe	1	2	17764
Adrian Tivey	1	3	12013
Adrian Veres	1	2	17764
Adriana Alberti	1	2	17764
Adriana Alzate	1	1	29388
Adriana Bernal	1	1	29388
Adriana Briscoe	1	2	17764
Adriana Di Martino	1	3	12013
Adriana Galvan	1	2	17764
Adriana Gomez-Martin	2	6	3650
Adriana Heguy	1	2	17764
Adriana Jager	1	2	17764
Adriana Kajon	1	2	17764
Adriana Magalska	1	2	17764
Adriana Melo	1	2	17764
Adriana Moura	1	2	17764
Adriana Olar	1	1	29388
Adriana Salcedo	1	3	12013
Adriane Otopalik	1	5	4631
Adrianne Gladden	1	2	17764
Adrianne Gladden-Young	3	7	2850
Adriano De Bernardi Schneider	1	3	12013
Adriano Tort	2	4	10491
Adriele Prina-Mello	1	5	4631
Adrien Foucal	1	2	17764
Adrien Josso	1	5	4631
Adrien Jouary	2	3	12013
Adrien Peyrache	3	9	2005
Adrienne Cupples	2	6	3650
Adrienne Gastineau	2	4	10491
Adrienne Ressayre	1	3	12013
Adrin Jalali	1	3	12013
Adwait Sathe	1	2	17764
Aedin Culhane	1	3	12013
Afif Elghraoui	1	3	12013
Afsaneh Sheikholeslami	1	3	12013
Afshin Samali	1	1	29388
Afzal Syed	1	1	29388
Agata Andersen	1	2	17764
Agata Krenc	1	1	29388
Agata Plesnar-Bielak	1	3	12013
Agata Rhomberg	1	2	17764
Agenor Mafra-Neto	1	2	17764
Agila Somasundaram	1	2	17764
Agnes Chan	1	2	17764
Agnes Floel	1	3	12013
Agnes Gigon	1	2	17764
Agnes Jonas	1	1	29388
Agnes Rotig	1	2	17764
Agnes Thierry	1	3	12013
Agneta Andersson	1	2	17764
Agnieszka Baranska	1	2	17764
Agnieszka Chacinska	1	3	12013
Agnieszka Dobrzynska	1	3	12013
Agnieszka Michael	1	1	29388
Agnieszka Sekowska	1	1	29388
Agnieszka Slopien	1	2	17764
Agnieszka Thompson	1	2	17764
Agostino Falavigna	1	3	12013
Agusti Poch-Pares	1	1	29388
Agustin Petroni	1	1	29388
Ah-Young Lee	1	3	12013
Ahishek Kashyap	1	1	29388
Ahmad Hariri	1	3	12013
Ahmad Khalil	1	1	29388
Ahmad Khan	1	1	29388
Ahmad Khleifat	1	2	17764
Ahmad Moghadam	1	2	17764
Ahmad Osman	1	3	12013
Ahmad Tani	1	5	4631
Ahmad Zebari	1	5	4631
Ahmadreza Ghaffarizadeh	6	22	256
Ahmed Abd-El-Haliem	1	5	4631
Ahmed Ahmed	1	3	12013
Ahmed Al-Samadi	1	1	29388
Ahmed Arnoaty	1	1	29388
Ahmed Elhassan	1	2	17764
Ahmed Fahal	1	2	17764
Ahmed Fattah	1	1	29388
Ahmed Gad	1	1	29388
Ahmed Hady	2	3	12013
Ahmed Halioui	3	4	10491
Ahmed Kamal	1	1	29388
Ahmed Lugelo	1	1	29388
Ahmed Metwally	1	2	17764
Ahmed Mohamed	1	2	17764
Ahmed Mora	1	1	29388
Ahmed Moustafa	2	5	4631
Ahmed Saveer	1	2	17764
Ahmed Shibl	1	2	17764
Ahmed Sobih	1	2	17764
Ahmed Wahed	1	1	29388
Ahmee Marshall-Christensen	1	5	4631
Ahmet Ademoglu	1	3	12013
Ahmet Berkyurek	1	5	4631
Ahmet Ozturk	1	1	29388
Ahuva-Sivan Mizrahi	1	2	17764
Ai-Hui Tang	1	3	12013
Aida Albors	2	7	2850
Aida Andres	3	7	2850
Aida Eslami	1	2	17764
Aida Miro-Herrans	1	2	17764
Aida Mrzic	1	3	12013
Aida Tiron	1	1	29388
Aida Valtuena	3	12	1012
Aidan Delaney	1	5	4631
Aidan Horner	1	2	17764
Aidan Piper	1	1	29388
Aiden Corvin	2	7	2850
Aikaterini Vasileiadou	1	5	4631
Aikou Okamoto	1	5	4631
Aileen Berasategui	1	1	29388
Aileen Foley	1	1	29388
Aileen Kenneson	1	2	17764
Aileen Wee	1	1	29388
Ailone Tichon	1	2	17764
Ailsa Hart	2	4	10491
Aimee Broman	1	5	4631
Aimee Dudley	1	2	17764
Aimee Jaramillo-Lambert	1	3	12013
Aimee Johnson	1	2	17764
Aimee Parker	1	2	17764
Aimee Rojas	1	5	4631
Aimee Zuniga	1	1	29388
Aimone Porri	1	1	29388
Aina Borve	1	2	17764
Aina Cohen	1	5	4631
Aindrila Mukhopadhyay	1	1	29388
Aine Ito	1	2	17764
Aino Jarvelin	1	2	17764
Aisling Coughlan	1	2	17764
Aisling Redmond	1	5	4631
Aitor Larranaga	1	2	17764
Aivar Kriiska	1	2	17764
Aiying Liu	1	1	29388
Aizhong Cao	1	1	29388
Ajay Mathuru	1	3	12013
Ajay Nair	1	3	12013
Ajay Satpute	1	1	29388
Ajay Sharma	1	1	29388
Ajay Varadarajan	1	3	12013
Ajazul Wani	1	2	17764
Ajeeth Adhikari	1	2	17764
Ajit Chande	1	2	17764
Ajit Nirmal	1	3	12013
Ajith Harish	1	1	29388
Ajith Sahasranamam	1	1	29388
Ajoy Ray	1	2	17764
Ajoy Sarkar	1	3	12013
Akanksha Srivastava	1	2	17764
Akash Gupta	1	5	4631
Ake Brannstrom	1	5	4631
Ake Lu	1	3	12013
Ake Lundkvist	1	2	17764
Ake Pugkhem	1	1	29388
Akeem Sule	1	2	17764
Akhilesh Pandey	1	3	12013
Aki Havulinna	4	16	532
Aki Nikolaidis	1	2	17764
Akihiko Arakawa	1	2	17764
Akihiko Kondo	1	1	29388
Akihiro Fujimoto	3	3	12013
Akihiro Okamotao	1	2	17764
Akihiro Shimokawa	1	1	29388
Akihiro Umezawa	1	5	4631
Akiko Sugio	1	2	17764
Akila Subasinghe	1	2	17764
Akino Shiroma	1	2	17764
Akinyemi Ojesina	1	1	29388
Akio Enders	1	2	17764
Akio Hagihara	1	1	29388
Akira Muto	1	1	29388
Akira Sawa	1	2	17764
Akira Sugimoto	1	2	17764
Akira Yamanaka	1	1	29388
Akito Kaga	1	2	17764
Akitomo Nagashima	1	2	17764
Akiva Rappaport	1	2	17764
Akiya Jouraku	2	2	17764
Akomian Azihou	1	3	12013
Akos Kovacs	1	5	4631
Akpeli Nordor	1	3	12013
Akram Alghamdi	1	3	12013
Akram Bakkour	1	2	17764
Akshansh Gupta	1	1	29388
Akshay Kakumanu	1	5	4631
Akshay Maheshwari	1	1	29388
Akshay Tambe	1	3	12013
Ala Trusina	1	2	17764
Alain Blateau	1	1	29388
Alain Brunelle	1	1	29388
Alain Camasses	1	1	29388
Alain Chedotal	1	5	4631
Alain Coletta	1	5	4631
Alain Crivelli	3	6	3650
Alain Dagher	2	10	1419
Alain Destexhe	3	6	3650
Alain Froment	2	4	10491
Alain Golay	1	2	17764
Alain Jacot-Guillarmod	1	3	12013
Alain Karma	1	1	29388
Alain Knopperts	1	3	12013
Alain Kohl	1	2	17764
Alain LE PAPE	1	1	29388
Alain Laederach	1	2	17764
Alain Okauga	1	1	29388
Alain Pacis	1	2	17764
Alain Vandormael	1	3	12013
Alain Verloes	1	5	4631
Alain-Jacques Valleron	1	3	12013
Alakesh Das	1	1	29388
Alan Anticevic	1	2	17764
Alan Attie	1	5	4631
Alan Beggs	1	1	29388
Alan Bergland	5	6	3650
Alan Bolnick	1	3	12013
Alan Bush	2	3	12013
Alan Cohen	1	2	17764
Alan Cooper	5	14	767
Alan Derman	1	2	17764
Alan Donaldson	1	3	12013
Alan Elena	1	5	4631
Alan Evans	3	12	1012
Alan Fryer	1	3	12013
Alan Gamis	1	1	29388
Alan Gray	2	4	10491
Alan Hall	1	3	12013
Alan Higbee	1	1	29388
Alan Hinnebusch	2	6	3650
Alan Hodgkinson	4	6	3650
Alan Hubbard	1	2	17764
Alan Hutchison	2	8	2314
Alan Jackson	2	5	4631
Alan Kay	1	2	17764
Alan Kopin	1	1	29388
Alan Lemmon	2	3	12013
Alan Lindsay	1	1	29388
Alan Litke	4	5	4631
Alan McCulloch	1	3	12013
Alan McIntyre	1	2	17764
Alan McNally	2	7	2850
Alan Medlar	2	2	17764
Alan Moses	1	3	12013
Alan Mullen	1	1	29388
Alan Packer	1	2	17764
Alan Perelson	1	2	17764
Alan Pittman	1	2	17764
Alan Prescott	1	2	17764
Alan Renton	1	3	12013
Alan Reynolds	1	2	17764
Alan Robertson	1	1	29388
Alan Rope	1	5	4631
Alan Rose	1	3	12013
Alan Rubin	1	5	4631
Alan Sabino	1	2	17764
Alan Sanders	2	4	10491
Alan Schatzberg	2	3	12013
Alan Scott	1	2	17764
Alan Shuldiner	2	4	10491
Alan Stepto	1	3	12013
Alan Stocker	2	6	3650
Alan Templeton	1	2	17764
Alan Tracey	1	2	17764
Alan Tucholka	1	2	17764
Alan Veliz-Cuba	3	6	3650
Alan Walker	1	5	4631
Alan Ward	1	2	17764
Alan Wells	1	2	17764
Alan Williams	1	3	12013
Alan Wu	2	4	10491
Alana Campbell	1	3	12013
Alana Cavadino	1	1	29388
Alana Chin	1	5	4631
Alana Moore	1	1	29388
Alana Muller	1	2	17764
Alasdair Coles	1	2	17764
Alasdair MacDonald	1	5	4631
Alasdair Mackenzie	1	3	12013
Alasdair McDowall	1	1	29388
Alassane Mbengue	1	1	29388
Alastair Aiken	1	1	29388
Alastair Goldman	1	2	17764
Alastair Kerr	1	1	29388
Alastair Lamb	1	3	12013
Alastair Poole	1	1	29388
Alastair Potts	1	3	12013
Alastair Thorne	1	5	4631
Alastair Watson	1	2	17764
Alayna Baron	1	3	12013
Alayne Ronnenberg	1	1	29388
Alba Dalmases	1	2	17764
Alba Garcia-Sanchez	1	5	4631
Alban Girault	1	1	29388
Alban Kitous	1	1	29388
Albert Barberan	1	2	17764
Albert Cardona	3	9	2005
Albert Cheng	1	2	17764
Albert Compte	2	6	3650
Albert Costa	1	2	17764
Albert David	1	5	4631
Albert Erives	7	35	80
Albert Fornace	1	2	17764
Albert Heck	1	1	29388
Albert Hofman	8	14	767
Albert Kao	1	2	17764
Albert Ko	2	4	10491
Albert Lee	2	3	12013
Albert Levin	1	2	17764
Albert Libchaber	1	1	29388
Albert Lu	1	1	29388
Albert Palleja	1	5	4631
Albert Ros	1	2	17764
Albert Smith	3	6	3650
Albert Sung	1	1	29388
Albert Tenesa	3	5	4631
Albert Valeev	1	5	4631
Albert Zink	1	5	4631
Albertine Oldehinkel	1	2	17764
Alberto Alvarez	1	1	29388
Alberto Ambesi-Impiombato	1	1	29388
Alberto Amorim	1	2	17764
Alberto Flores	1	2	17764
Alberto Galbusera	1	2	17764
Alberto Guzman-Alvarez	1	5	4631
Alberto Imparato	1	1	29388
Alberto Luini	1	2	17764
Alberto Mazzoni	1	2	17764
Alberto Rastrojo	1	5	4631
Alberto Romagnoni	1	1	29388
Alberto Santos	1	5	4631
Alberto Selvaggi	1	2	17764
Alberto Stolfi	1	2	17764
Alberto Valladares	1	1	29388
Alberto Villanueva	1	3	12013
Albin Fontaine	1	2	17764
Albin Sandelin	4	9	2005
Albina Asadulina	1	2	17764
Alcides Chaux	2	4	10491
Alden Deran	2	5	4631
Alden Huang	2	4	10491
Aldert Zomer	1	5	4631
Aldo Faisal	2	7	2850
Aldo Leal-Egana	1	2	17764
Aldo Quattrone	1	1	29388
Aldona Pienkowska-Schelling	1	1	29388
Aldons Lusis	3	3	12013
Aldrin Montana	1	5	4631
Aleah Caulin	1	1	29388
Alec Coffman	1	5	4631
Alec Uebsersohn	1	3	12013
Aled Roberts	2	5	4631
Aleeza Gerstein	2	4	10491
Aleisha Reimer	2	6	3650
Aleixo Muise	1	2	17764
Alejandra Abdala	1	5	4631
Alejandra Alonso	1	1	29388
Alejandra Carrea	1	2	17764
Alejandra Culebro	1	2	17764
Alejandra Gonzalez-Beltran	4	15	603
Alejandra King	1	2	17764
Alejandra Rodriguez-Verdugo	2	4	10491
Alejandro Arias-Vasquez	1	1	29388
Alejandro Burga	2	4	10491
Alejandro Chavez	4	11	1203
Alejandro Colman-Lerner	3	4	10491
Alejandro Grajales	1	1	29388
Alejandro Horga	1	2	17764
Alejandro Maass	1	2	17764
Alejandro Manzano-Marin	3	9	2005
Alejandro Mentaberry	1	2	17764
Alejandro Ochoa	3	9	2005
Alejandro Ordonez	1	1	29388
Alejandro Ortega	1	2	17764
