DOI	Date	License
10.1101/074450	2016-09-09	CC BY-NC-ND
10.1101/074476	2016-09-13	CC BY-NC-ND
10.1101/074484	2016-09-09	CC BY-NC-ND
10.1101/074492	2016-09-10	None
10.1101/074500	2016-09-10	CC BY-ND
10.1101/074518	2016-09-10	CC BY-NC-ND
10.1101/074542	2016-09-11	None
10.1101/074559	2016-09-11	None
10.1101/074567	2016-09-14	CC BY-NC-ND
10.1101/074583	2016-09-13	CC BY-NC-ND
10.1101/074591	2016-09-12	CC BY-NC-ND
10.1101/074609	2016-09-11	None
10.1101/074617	2016-09-11	None
10.1101/074625	2016-09-11	CC BY-NC-ND
10.1101/074633	2016-09-11	CC BY-NC
10.1101/074641	2016-09-11	CC BY-ND
10.1101/074658	2016-09-11	None
10.1101/074666	2016-09-11	None
10.1101/074682	2016-09-11	CC BY-NC-ND
10.1101/074690	2016-09-11	CC BY-NC-ND
10.1101/074708	2016-09-12	CC BY-NC-ND
10.1101/074716	2016-09-12	CC BY-NC-ND
10.1101/074724	2016-09-12	CC BY-NC-ND
10.1101/074732	2016-09-12	CC BY-NC-ND
10.1101/074757	2016-09-12	CC BY-NC-ND
10.1101/074773	2016-09-12	CC BY
10.1101/074781	2016-09-12	CC BY-NC-ND
10.1101/074799	2016-09-12	CC BY-ND
10.1101/074807	2016-09-12	CC BY-NC-ND
10.1101/074815	2016-09-13	None
10.1101/074823	2016-09-12	CC BY-ND
10.1101/074831	2016-09-12	CC BY-NC-ND
10.1101/074849	2016-09-12	CC BY-NC-ND
10.1101/074856	2016-10-14	CC BY-NC-ND
10.1101/074864	2016-09-13	CC BY-ND
10.1101/074872	2016-09-13	CC BY
10.1101/074880	2016-09-13	CC BY
10.1101/074898	2016-09-13	CC BY
10.1101/074922	2016-09-14	CC BY
10.1101/074955	2016-09-16	CC BY-NC-ND
10.1101/074963	2016-09-13	None
10.1101/074971	2016-09-13	CC BY
10.1101/074989	2016-09-13	CC BY-NC-ND
10.1101/074997	2016-09-15	CC BY
10.1101/075002	2016-09-13	None
10.1101/075028	2016-09-13	CC BY
10.1101/075036	2016-09-13	CC BY-NC-ND
10.1101/075044	2016-09-13	CC BY-NC-ND
10.1101/075051	2016-09-14	None
10.1101/075069	2016-09-14	CC BY-NC-ND
10.1101/075077	2016-09-14	CC BY-ND
10.1101/075101	2016-09-19	None
10.1101/075127	2016-09-14	CC BY-NC-ND
10.1101/075135	2016-09-19	CC BY-NC-ND
10.1101/075150	2016-09-25	CC BY
10.1101/075168	2016-09-14	CC BY-NC-ND
10.1101/075176	2016-09-14	CC BY-NC-ND
10.1101/075184	2016-09-14	CC BY-NC-ND
10.1101/075192	2016-09-14	None
10.1101/075200	2016-09-14	CC BY-NC-ND
10.1101/075259	2016-09-14	None
10.1101/075267	2016-09-14	CC BY-NC-ND
10.1101/075275	2016-09-15	CC BY
10.1101/075283	2016-09-15	None
10.1101/075291	2016-09-15	CC BY
10.1101/075309	2016-09-16	CC BY-NC
10.1101/075317	2016-09-15	CC BY-NC-ND
10.1101/075325	2016-09-15	CC BY-NC-ND
10.1101/075333	2016-09-16	CC BY-NC-ND
10.1101/075341	2016-09-15	CC BY-NC
10.1101/075358	2016-09-15	CC BY-NC
10.1101/075366	2016-09-15	None
10.1101/075374	2016-09-15	CC BY-NC-ND
10.1101/075382	2016-09-21	CC BY
10.1101/075408	2016-09-16	CC BY-NC-ND
10.1101/075416	2016-09-15	CC BY-ND
10.1101/075432	2016-09-15	CC BY-NC-ND
10.1101/075440	2016-10-24	None
10.1101/075457	2016-09-22	CC BY
10.1101/075465	2016-09-16	None
10.1101/075481	2016-09-16	CC BY
10.1101/075515	2016-09-16	CC BY-NC-ND
10.1101/075523	2016-09-16	None
10.1101/075549	2016-09-16	CC BY-NC-ND
10.1101/075556	2016-09-16	None
10.1101/075580	2016-09-16	CC BY
10.1101/075598	2016-09-16	None
10.1101/075655	2016-09-16	CC BY-ND
10.1101/075663	2016-09-16	CC BY-NC-ND
10.1101/075671	2016-09-16	CC BY-NC-ND
10.1101/075697	2016-09-16	CC BY-NC-ND
10.1101/075705	2016-09-16	CC BY-NC
10.1101/075713	2016-09-22	CC BY-NC-ND
10.1101/075721	2016-09-17	None
10.1101/075747	2016-09-19	None
10.1101/075754	2016-09-19	None
10.1101/075762	2016-09-17	CC BY-NC
10.1101/075788	2016-09-19	None
10.1101/075796	2016-09-19	CC BY
10.1101/075804	2016-09-19	CC BY-NC-ND
10.1101/075812	2016-09-19	CC BY-NC-ND
10.1101/075820	2016-09-19	CC BY-NC-ND
10.1101/075846	2016-09-19	CC BY-NC-ND
10.1101/075853	2016-09-19	CC BY-NC
10.1101/075861	2016-09-19	CC BY-NC-ND
10.1101/075879	2016-09-21	CC BY-ND
10.1101/075887	2016-09-19	CC BY-NC-ND
10.1101/075895	2016-09-19	CC BY-NC-ND
10.1101/075911	2016-09-19	CC BY-NC-ND
10.1101/075929	2016-09-19	CC BY-NC-ND
10.1101/075945	2016-09-19	CC BY-NC-ND
10.1101/075960	2016-09-19	CC BY-NC
10.1101/075978	2016-09-19	CC BY-NC
10.1101/075986	2016-09-20	None
10.1101/075994	2016-09-19	CC BY
10.1101/076000	2016-09-19	CC BY
10.1101/076026	2016-09-21	None
10.1101/076034	2016-10-11	None
10.1101/076042	2016-09-19	CC BY-NC-ND
10.1101/076059	2016-11-02	CC BY-NC-ND
10.1101/076067	2016-09-19	CC BY
10.1101/076083	2016-09-19	CC BY-ND
10.1101/076091	2016-09-20	None
10.1101/076109	2016-09-19	CC BY-NC-ND
10.1101/076117	2016-09-19	CC BY-NC
10.1101/076125	2016-09-21	CC BY-ND
10.1101/076133	2016-09-19	CC BY-NC-ND
10.1101/076158	2016-09-20	CC BY-NC-ND
10.1101/076166	2016-09-19	CC BY-NC-ND
10.1101/076174	2016-09-19	CC BY-NC-ND
10.1101/076182	2016-09-20	CC BY-NC-ND
10.1101/076190	2016-09-20	CC BY
10.1101/076208	2016-09-20	CC BY-NC-ND
10.1101/076216	2016-09-20	None
10.1101/076224	2016-09-20	CC BY-ND
10.1101/076232	2016-09-20	CC BY-NC-ND
10.1101/076240	2016-09-20	None
10.1101/076257	2016-09-20	CC BY-NC-ND
10.1101/076265	2016-09-20	None
10.1101/076273	2016-09-20	None
10.1101/076299	2016-09-20	CC BY-NC-ND
10.1101/076307	2016-09-20	CC BY-ND
10.1101/076315	2016-09-20	None
10.1101/076331	2016-09-22	CC BY
10.1101/076356	2016-09-21	None
10.1101/076364	2016-09-21	None
10.1101/076398	2016-09-21	CC BY-NC-ND
10.1101/076414	2016-09-21	CC BY-NC-ND
10.1101/076422	2016-09-21	CC BY-NC-ND
10.1101/076430	2016-09-21	None
10.1101/076448	2016-09-21	None
10.1101/076455	2016-09-21	None
10.1101/076463	2016-09-21	None
10.1101/076497	2016-09-21	CC BY-NC-ND
10.1101/076505	2016-09-21	None
10.1101/076513	2016-09-21	CC BY-NC
10.1101/076521	2016-09-22	None
10.1101/076547	2016-09-21	CC BY-ND
10.1101/076554	2016-09-21	CC BY-NC-ND
10.1101/076562	2016-09-22	None
10.1101/076570	2016-09-21	CC BY-NC-ND
10.1101/076596	2016-09-21	CC BY
10.1101/076604	2016-09-21	None
10.1101/076612	2016-09-23	CC BY
10.1101/076620	2016-09-21	CC BY
10.1101/076638	2016-09-21	CC BY-NC-ND
10.1101/076646	2016-09-21	None
10.1101/076653	2016-09-21	CC BY-NC
10.1101/076661	2016-09-21	None
10.1101/076679	2016-09-21	CC BY
10.1101/076687	2016-09-21	CC BY-NC-ND
10.1101/076695	2016-09-21	CC BY-NC-ND
10.1101/076703	2016-09-21	CC BY-NC-ND
10.1101/076711	2016-09-22	CC BY-NC-ND
10.1101/076729	2016-09-22	None
10.1101/076745	2016-09-22	CC BY-ND
10.1101/076752	2016-09-22	CC BY-NC-ND
10.1101/076760	2016-09-22	None
10.1101/076794	2016-09-23	CC BY-NC-ND
10.1101/076810	2016-09-22	CC BY
10.1101/076828	2016-09-22	None
10.1101/076836	2016-09-22	CC BY-ND
10.1101/076844	2016-09-22	CC BY
10.1101/076851	2016-09-22	CC BY-NC-ND
10.1101/076869	2016-09-23	CC BY-NC-ND
10.1101/076885	2016-09-23	None
10.1101/076893	2016-09-23	CC BY
10.1101/076901	2016-09-22	CC BY-ND
10.1101/076919	2016-09-23	None
10.1101/076927	2016-09-22	CC BY
10.1101/076935	2016-09-23	None
10.1101/076950	2017-03-07	CC BY-NC-ND
10.1101/076968	2016-09-22	CC BY-NC-ND
10.1101/076976	2016-09-23	CC BY-NC-ND
10.1101/076984	2016-09-22	CC BY-NC-ND
10.1101/076992	2016-09-23	CC BY-ND
10.1101/077024	2016-09-25	None
10.1101/077057	2016-09-23	None
10.1101/077065	2016-09-23	None
10.1101/077073	2016-09-23	CC BY-NC-ND
10.1101/077099	2016-09-23	CC BY-ND
10.1101/077107	2016-09-23	CC BY-NC-ND
10.1101/077115	2016-09-23	CC BY-NC
10.1101/077123	2016-09-25	CC BY-NC-ND
10.1101/077131	2016-09-25	CC BY
10.1101/077172	2016-09-25	CC BY
10.1101/077180	2016-09-25	None
10.1101/077214	2016-09-25	None
10.1101/077222	2016-09-30	None
10.1101/077230	2016-09-25	CC BY-NC-ND
10.1101/077248	2016-09-25	CC BY-NC-ND
10.1101/077263	2016-09-26	CC BY-NC-ND
10.1101/077271	2016-09-25	CC BY
10.1101/077289	2016-09-25	CC BY-NC-ND
10.1101/077297	2016-09-25	CC BY-NC-ND
10.1101/077305	2016-09-27	None
10.1101/077313	2016-09-25	CC BY-NC-ND
10.1101/077321	2016-09-25	CC BY-NC-ND
10.1101/077354	2016-09-25	None
10.1101/077388	2016-09-26	None
10.1101/077396	2016-09-26	None
10.1101/077404	2016-09-26	None
10.1101/077412	2016-09-26	CC BY-NC-ND
10.1101/077461	2016-09-26	CC BY-NC
10.1101/077487	2016-09-26	CC BY-NC
10.1101/077503	2016-09-26	None
10.1101/077511	2016-09-26	None
10.1101/077529	2016-10-11	CC BY-NC-ND
10.1101/077537	2016-09-26	CC BY-ND
10.1101/077545	2016-09-26	CC BY-ND
10.1101/077552	2016-09-26	CC BY-NC-ND
10.1101/077560	2016-09-26	CC BY-ND
10.1101/077578	2016-09-26	CC BY-NC-ND
10.1101/077586	2016-09-26	None
10.1101/077594	2016-09-26	CC BY-NC-ND
10.1101/077610	2016-09-26	CC BY-NC-ND
10.1101/077628	2016-09-27	CC BY-ND
10.1101/077636	2016-09-26	CC BY-ND
10.1101/077644	2016-09-28	CC BY-NC-ND
10.1101/077651	2016-09-27	CC BY-NC-ND
10.1101/077669	2016-09-26	CC BY-NC-ND
10.1101/077677	2016-09-26	None
10.1101/077685	2016-09-26	CC BY
10.1101/077693	2016-09-26	CC BY-NC-ND
10.1101/077701	2016-09-27	CC BY-NC-ND
10.1101/077719	2016-09-27	CC BY-ND
10.1101/077727	2016-09-27	CC BY-NC-ND
10.1101/077743	2016-09-27	None
10.1101/077750	2016-09-27	CC BY-ND
10.1101/077768	2016-10-14	CC BY-ND
10.1101/077776	2016-09-27	CC BY-ND
10.1101/077784	2016-09-27	CC BY-NC-ND
10.1101/077792	2016-09-28	None
10.1101/077800	2016-09-27	CC BY-NC-ND
10.1101/077818	2016-09-27	CC BY-ND
10.1101/077826	2016-09-27	None
10.1101/077834	2016-09-27	None
10.1101/077859	2016-09-27	CC BY
10.1101/077867	2016-09-27	CC BY
10.1101/077875	2016-09-29	CC BY-NC
10.1101/077883	2016-09-27	CC BY-NC-ND
10.1101/077891	2016-09-27	CC BY-NC-ND
10.1101/077909	2016-09-27	None
10.1101/077917	2016-09-28	CC BY-NC-ND
10.1101/077933	2016-09-27	CC BY-NC-ND
10.1101/077941	2016-09-27	CC BY
10.1101/077958	2016-09-28	CC BY-NC-ND
10.1101/077966	2016-09-27	CC BY-NC-ND
10.1101/077974	2016-09-29	CC BY
10.1101/077990	2016-09-28	CC BY-NC
10.1101/078006	2016-09-28	CC BY-NC-ND
10.1101/078014	2016-09-28	None
10.1101/078030	2016-09-28	None
10.1101/078048	2016-09-28	CC BY-ND
10.1101/078055	2016-09-28	None
10.1101/078063	2016-09-28	None
10.1101/078097	2016-09-28	CC BY-NC-ND
10.1101/078113	2016-09-28	None
10.1101/078147	2016-09-28	CC BY
10.1101/078154	2016-09-30	CC BY-NC-ND
10.1101/078162	2016-09-28	CC BY-NC-ND
10.1101/078170	2016-09-28	CC BY
10.1101/078188	2016-09-28	CC BY-ND
10.1101/078196	2016-09-28	CC BY-NC
10.1101/078204	2016-09-29	CC BY-NC-ND
10.1101/078212	2016-09-28	CC BY-NC
10.1101/078220	2016-09-28	CC BY-NC-ND
10.1101/078246	2016-09-28	CC BY-ND
10.1101/078253	2016-10-05	CC BY-NC-ND
10.1101/078261	2016-09-30	CC BY-ND
10.1101/078279	2016-09-28	CC BY
10.1101/078329	2016-09-30	CC BY-NC-ND
10.1101/078337	2016-09-30	CC BY-NC-ND
10.1101/078352	2016-09-29	CC BY
10.1101/078360	2016-09-30	CC BY-NC-ND
10.1101/078378	2016-09-30	None
10.1101/078386	2016-09-30	CC BY-NC
10.1101/078394	2016-09-30	CC BY-NC-ND
10.1101/078410	2016-09-30	None
10.1101/078428	2016-09-30	CC BY-NC-ND
10.1101/078451	2016-09-30	CC BY-NC-ND
10.1101/078469	2016-09-30	CC BY
10.1101/078477	2016-09-30	CC BY-NC
10.1101/078501	2016-10-03	None
10.1101/078519	2016-09-30	CC BY-ND
10.1101/078527	2017-02-17	None
10.1101/078535	2016-10-01	None
10.1101/078543	2016-10-01	None
10.1101/078550	2016-10-01	CC BY-NC-ND
10.1101/078584	2016-09-30	CC BY
10.1101/078592	2016-10-05	CC BY-NC-ND
10.1101/078600	2016-09-30	CC BY-ND
10.1101/078618	2016-09-30	CC BY-NC-ND
10.1101/078626	2016-09-30	CC BY-NC-ND
10.1101/078634	2016-09-30	None
10.1101/078642	2016-09-30	CC BY-NC-ND
10.1101/078659	2016-10-03	CC BY
10.1101/078667	2016-10-02	None
10.1101/078675	2016-09-30	CC BY-NC-ND
10.1101/078683	2016-09-30	CC BY-NC-ND
10.1101/078717	2016-09-30	CC BY-NC
10.1101/078725	2016-10-06	CC BY-NC-ND
10.1101/078733	2016-10-01	None
10.1101/078741	2016-10-02	CC BY-NC-ND
10.1101/078758	2016-10-02	None
10.1101/078766	2016-10-02	None
10.1101/078774	2016-10-01	None
10.1101/078782	2016-10-02	CC BY-ND
10.1101/078790	2016-10-02	None
10.1101/078816	2016-10-03	CC BY-NC
10.1101/078832	2016-10-04	CC BY-NC
10.1101/078857	2016-10-03	None
10.1101/078865	2016-10-02	CC BY-NC-ND
10.1101/078873	2016-10-02	CC BY-NC-ND
10.1101/078881	2016-10-03	CC BY
10.1101/078907	2016-10-04	CC BY-NC-ND
10.1101/078923	2016-10-04	None
10.1101/078931	2016-10-03	CC BY-NC-ND
10.1101/078949	2016-10-03	CC BY-NC-ND
10.1101/078964	2016-10-03	None
10.1101/078972	2016-12-16	CC BY
10.1101/078998	2016-10-03	CC BY-NC
10.1101/079004	2016-12-19	None
10.1101/079012	2016-10-03	CC BY
10.1101/079020	2016-10-04	CC BY
10.1101/079038	2016-10-03	CC BY
10.1101/079046	2016-10-03	CC BY-ND
10.1101/079053	2016-10-04	CC BY-NC
10.1101/079061	2016-10-04	CC BY-NC-ND
10.1101/079087	2016-10-04	CC BY
10.1101/079095	2016-10-04	CC BY-NC-ND
10.1101/079137	2016-10-05	CC BY
10.1101/079145	2016-10-04	CC BY
10.1101/079152	2016-10-04	None
10.1101/079178	2016-10-04	CC BY-NC
10.1101/079186	2016-10-04	CC BY-NC-ND
10.1101/079194	2016-10-04	CC BY
10.1101/079202	2016-10-04	CC BY
10.1101/079236	2016-10-04	CC BY-NC-ND
10.1101/079244	2016-10-04	CC BY-NC-ND
10.1101/079251	2016-10-04	CC BY-ND
10.1101/079269	2016-10-04	CC BY-NC-ND
10.1101/079293	2016-10-05	CC BY-NC-ND
10.1101/079301	2016-10-05	None
10.1101/079327	2016-10-05	CC BY-NC-ND
10.1101/079335	2016-10-05	CC BY-NC-ND
10.1101/079343	2016-10-07	CC BY-NC-ND
10.1101/079350	2016-10-05	None
10.1101/079368	2016-10-05	CC BY-NC-ND
10.1101/079384	2016-10-05	CC BY-NC
10.1101/079418	2016-10-05	CC BY-NC-ND
10.1101/079434	2016-10-05	CC BY-NC-ND
10.1101/079442	2016-10-05	CC BY-ND
10.1101/079459	2016-10-05	None
10.1101/079467	2016-10-06	CC BY-NC-ND
10.1101/079483	2016-10-06	CC BY-NC-ND
10.1101/079491	2016-10-06	None
10.1101/079509	2016-10-06	None
10.1101/079517	2016-10-06	None
10.1101/079525	2016-10-13	CC BY-NC-ND
10.1101/079533	2016-10-07	None
10.1101/079541	2016-10-06	None
10.1101/079558	2016-10-17	CC BY-NC-ND
10.1101/079566	2016-10-07	CC BY-NC
10.1101/079574	2016-10-12	CC BY-NC-ND
10.1101/079582	2016-10-07	CC BY-NC
10.1101/079590	2016-10-07	CC BY-NC
10.1101/079608	2016-10-07	CC BY-NC
10.1101/079616	2016-10-07	None
10.1101/079624	2016-10-07	CC BY-NC-ND
10.1101/079632	2016-10-07	None
10.1101/079657	2016-10-07	CC BY-ND
10.1101/079673	2016-10-07	CC BY-NC-ND
10.1101/079681	2016-10-07	CC BY-NC-ND
10.1101/079699	2016-10-07	CC BY-NC-ND
10.1101/079707	2016-10-07	None
10.1101/079715	2016-10-07	None
10.1101/079723	2016-10-07	CC BY
10.1101/079731	2016-10-07	CC BY
10.1101/079749	2016-10-07	CC BY-NC-ND
10.1101/079756	2016-10-07	None
10.1101/079764	2016-10-07	CC BY-NC-ND
10.1101/079772	2016-10-07	None
10.1101/079780	2016-10-07	CC BY
10.1101/079798	2016-10-07	CC BY-NC-ND
10.1101/079806	2016-10-07	None
10.1101/079814	2016-10-07	None
10.1101/079830	2016-10-09	CC BY-NC-ND
10.1101/079848	2016-10-12	None
10.1101/079863	2016-10-09	CC BY-NC-ND
10.1101/079871	2016-10-09	CC BY-NC-ND
10.1101/079889	2016-10-09	CC BY-NC-ND
10.1101/079905	2016-10-09	CC BY-NC-ND
10.1101/079913	2016-10-10	CC BY
10.1101/079921	2016-10-09	CC BY-NC-ND
10.1101/079939	2016-10-09	CC BY-NC-ND
10.1101/079947	2016-10-12	None
10.1101/079954	2016-10-12	None
10.1101/079962	2016-11-03	CC BY-NC-ND
10.1101/079970	2016-10-09	CC BY-NC
10.1101/079996	2016-10-12	None
10.1101/080010	2016-10-09	CC BY
10.1101/080028	2016-10-09	None
10.1101/080036	2016-10-10	CC BY-NC
10.1101/080044	2016-10-10	None
10.1101/080051	2016-10-10	CC BY-NC-ND
10.1101/080077	2016-10-10	CC BY-NC-ND
10.1101/080085	2016-10-10	CC BY
10.1101/080101	2016-10-10	None
10.1101/080119	2016-10-10	CC BY-NC-ND
10.1101/080127	2016-10-10	CC BY-NC-ND
10.1101/080135	2016-10-10	CC BY-NC
10.1101/080143	2016-10-12	None
10.1101/080168	2016-10-12	CC BY-NC
10.1101/080176	2016-10-12	None
10.1101/080200	2016-10-12	CC BY
10.1101/080218	2016-10-13	None
10.1101/080226	2016-10-12	CC BY-NC-ND
10.1101/080242	2016-10-12	CC BY-NC-ND
10.1101/080267	2016-10-12	CC BY-NC-ND
10.1101/080283	2016-10-12	None
10.1101/080291	2016-10-12	CC BY-NC-ND
10.1101/080309	2016-10-11	CC BY-NC-ND
10.1101/080317	2016-10-12	CC BY-NC-ND
10.1101/080325	2016-10-12	None
10.1101/080333	2016-10-12	CC BY-NC-ND
10.1101/080341	2016-10-12	CC BY-ND
10.1101/080366	2016-10-12	CC BY
10.1101/080374	2016-10-12	CC BY-NC-ND
10.1101/080382	2016-10-17	None
10.1101/080408	2016-10-12	CC BY
10.1101/080416	2016-10-12	CC BY-NC
10.1101/080424	2016-10-12	CC BY-NC
10.1101/080432	2016-10-16	None
10.1101/080440	2016-10-17	CC BY-NC-ND
10.1101/080457	2016-10-12	CC BY-NC-ND
10.1101/080465	2016-10-12	CC BY-NC-ND
10.1101/080499	2016-10-17	None
10.1101/080507	2016-10-14	CC BY
10.1101/080515	2016-10-17	None
10.1101/080531	2016-10-13	None
10.1101/080549	2016-10-12	CC BY-NC
10.1101/080556	2016-10-12	CC BY-NC-ND
10.1101/080564	2016-10-14	CC BY-NC-ND
10.1101/080572	2016-10-12	None
10.1101/080580	2016-10-12	CC BY-NC-ND
10.1101/080598	2016-10-12	None
10.1101/080606	2016-10-12	CC BY-NC-ND
10.1101/080614	2017-02-01	None
10.1101/080622	2016-11-20	None
10.1101/080630	2016-10-13	CC BY
10.1101/080648	2016-10-12	CC BY-NC
10.1101/080655	2016-10-13	CC BY-NC-ND
10.1101/080663	2016-10-13	CC BY-NC-ND
10.1101/080671	2016-10-13	CC BY
10.1101/080689	2016-10-13	None
10.1101/080697	2016-10-13	None
10.1101/080705	2016-10-13	CC BY-NC-ND
10.1101/080713	2016-10-15	CC BY-NC
10.1101/080721	2016-10-13	CC BY-NC-ND
10.1101/080739	2016-10-13	None
10.1101/080747	2016-10-13	None
10.1101/080754	2016-10-13	CC BY-NC-ND
10.1101/080770	2016-10-13	CC BY
10.1101/080788	2016-10-14	CC BY-NC-ND
10.1101/080796	2016-10-13	CC BY
10.1101/080804	2016-10-13	None
10.1101/080820	2016-10-13	None
10.1101/080846	2016-10-15	CC BY-NC
10.1101/080853	2016-10-14	None
10.1101/080861	2016-10-14	CC BY-NC-ND
10.1101/080879	2016-10-14	CC BY-NC-ND
10.1101/080887	2016-10-14	None
10.1101/080895	2016-10-14	CC BY-NC-ND
10.1101/080903	2016-10-14	None
10.1101/080929	2016-10-16	None
10.1101/080937	2016-10-14	CC BY-ND
10.1101/080945	2016-10-21	CC BY-NC-ND
10.1101/080952	2016-10-14	None
10.1101/080960	2016-10-14	CC BY-NC-ND
10.1101/080978	2016-10-14	CC BY
10.1101/080986	2016-10-14	CC BY-NC-ND
10.1101/080994	2016-10-14	None
10.1101/081000	2016-10-14	CC BY
10.1101/081018	2016-10-14	CC BY-NC-ND
10.1101/081026	2016-10-14	None
10.1101/081042	2016-10-14	CC BY-NC-ND
10.1101/081067	2016-10-15	CC BY-NC-ND
10.1101/081075	2016-10-14	CC BY-NC-ND
10.1101/081083	2016-10-14	CC BY-NC-ND
10.1101/081091	2016-10-14	None
10.1101/081109	2016-10-14	CC BY-NC-ND
10.1101/081117	2016-10-14	CC BY-NC
10.1101/081125	2016-10-14	CC BY-NC-ND
10.1101/081141	2016-10-15	CC BY-NC-ND
10.1101/081158	2016-10-14	None
10.1101/081166	2016-10-16	CC BY
10.1101/081174	2016-10-14	CC BY-NC-ND
10.1101/081182	2016-10-16	CC BY-NC-ND
10.1101/081208	2016-10-16	CC BY-NC-ND
10.1101/081216	2016-10-16	None
10.1101/081232	2016-10-16	None
10.1101/081240	2016-10-16	CC BY-NC
10.1101/081257	2016-10-15	None
10.1101/081265	2016-10-16	None
10.1101/081273	2016-10-15	None
10.1101/081281	2016-10-15	CC BY-NC-ND
10.1101/081299	2016-10-17	CC BY-NC-ND
10.1101/081307	2016-10-16	CC BY-NC-ND
10.1101/081323	2016-10-17	CC BY
10.1101/081331	2016-10-20	None
10.1101/081349	2016-10-17	CC BY-NC-ND
10.1101/081356	2016-10-16	CC BY-NC-ND
10.1101/081364	2016-10-17	CC BY-NC-ND
10.1101/081380	2016-10-17	CC BY-NC
10.1101/081398	2016-10-17	CC BY-NC-ND
10.1101/081414	2016-10-17	CC BY-NC-ND
10.1101/081422	2016-10-17	None
10.1101/081430	2016-10-17	CC BY-NC-ND
10.1101/081448	2016-10-17	CC BY
10.1101/081455	2016-10-17	CC BY-NC-ND
10.1101/081463	2016-10-17	CC BY-NC
10.1101/081471	2016-10-17	None
10.1101/081489	2016-10-18	CC BY
10.1101/081497	2016-10-17	None
10.1101/081505	2016-10-17	None
10.1101/081513	2016-10-17	CC BY-NC
10.1101/081521	2016-10-17	CC BY-NC-ND
10.1101/081539	2016-10-17	None
10.1101/081547	2016-10-17	CC BY-NC
10.1101/081554	2016-10-17	CC BY
10.1101/081570	2016-10-17	CC BY-NC-ND
10.1101/081596	2016-10-17	CC BY-NC-ND
10.1101/081604	2016-10-17	None
10.1101/081612	2016-10-17	CC BY-NC-ND
10.1101/081620	2016-10-17	CC BY-NC-ND
10.1101/081646	2016-10-17	CC BY
10.1101/081653	2016-10-19	None
10.1101/081661	2016-10-18	None
10.1101/081687	2016-12-08	CC BY
10.1101/081695	2016-10-18	CC BY-NC-ND
10.1101/081703	2016-11-19	CC BY-NC-ND
10.1101/081711	2016-10-18	CC BY-ND
10.1101/081729	2016-10-18	CC BY-ND
10.1101/081737	2016-10-27	CC BY-NC-ND
10.1101/081745	2016-10-18	CC BY-NC-ND
10.1101/081752	2016-10-19	CC BY-NC-ND
10.1101/081778	2016-10-18	CC BY-NC-ND
10.1101/081786	2016-10-18	CC BY-NC
10.1101/081794	2016-10-18	CC BY
10.1101/081802	2016-10-20	CC BY-ND
10.1101/081828	2016-10-21	CC BY-NC
10.1101/081844	2016-10-19	CC BY-NC-ND
10.1101/081869	2016-10-19	None
10.1101/081885	2016-10-19	CC BY-NC-ND
10.1101/081927	2016-10-19	None
10.1101/081935	2016-10-19	CC BY-NC-ND
10.1101/081943	2016-10-19	None
10.1101/081950	2016-10-19	CC BY
10.1101/081968	2016-10-19	CC BY
10.1101/081976	2016-11-19	CC BY-NC-ND
10.1101/081984	2016-10-20	CC BY-NC
10.1101/081992	2016-10-26	CC BY-NC
10.1101/082008	2016-10-19	CC BY-NC-ND
10.1101/082016	2016-10-19	CC BY-NC
10.1101/082024	2016-10-19	CC BY-NC-ND
10.1101/082032	2016-10-20	None
10.1101/082057	2016-11-20	None
10.1101/082065	2016-10-20	CC BY-ND
10.1101/082081	2016-10-20	CC BY-ND
10.1101/082099	2016-10-20	CC BY-NC
10.1101/082107	2016-10-20	CC BY-NC-ND
10.1101/082115	2016-10-20	CC BY-NC-ND
10.1101/082123	2016-10-20	None
10.1101/082131	2016-10-20	CC BY-NC-ND
10.1101/082156	2016-10-20	CC BY-NC
10.1101/082164	2016-10-30	None
10.1101/082214	2016-10-20	None
10.1101/082222	2016-10-20	None
10.1101/082230	2016-10-20	CC BY-NC-ND
10.1101/082248	2016-10-21	CC BY-NC-ND
10.1101/082255	2016-10-20	CC BY-NC
10.1101/082263	2016-10-20	CC BY-NC-ND
10.1101/082271	2016-10-21	CC BY
10.1101/082289	2016-10-20	CC BY-ND
10.1101/082297	2016-10-20	CC BY
10.1101/082305	2016-10-20	None
10.1101/082321	2016-10-21	CC BY-NC-ND
10.1101/082339	2016-10-21	None
10.1101/082347	2016-10-21	CC BY
10.1101/082362	2016-10-21	CC BY-ND
10.1101/082370	2016-10-21	None
10.1101/082396	2016-10-24	CC BY-NC-ND
10.1101/082420	2016-10-21	None
10.1101/082438	2016-10-22	CC BY-NC-ND
10.1101/082446	2016-10-21	CC BY-NC-ND
10.1101/082461	2016-10-21	None
10.1101/082479	2016-10-21	CC BY-ND
10.1101/082487	2016-10-21	None
10.1101/082495	2016-10-21	CC BY-NC-ND
10.1101/082503	2016-10-21	CC BY
10.1101/082511	2016-10-24	CC BY-NC
10.1101/082529	2016-10-21	CC BY-NC-ND
10.1101/082537	2016-10-21	CC BY-NC-ND
10.1101/082552	2016-10-22	None
10.1101/082594	2016-10-24	None
10.1101/082602	2016-10-24	None
10.1101/082610	2016-10-22	None
10.1101/082628	2016-10-22	CC BY-NC-ND
10.1101/082636	2016-10-22	None
10.1101/082644	2016-10-22	CC BY-NC
10.1101/082651	2016-10-22	CC BY-NC-ND
