DOI	Date	License
10.1101/004341	2014-04-21	None
10.1101/004366	2014-04-21	CC BY-NC-ND
10.1101/004374	2015-06-02	CC BY-NC-ND
10.1101/004382	2014-04-28	CC BY-NC-ND
10.1101/004390	2014-04-21	CC BY
10.1101/004416	2015-01-29	CC BY-NC-ND
10.1101/004424	2014-04-23	CC BY-NC
10.1101/004432	2014-04-23	None
10.1101/004440	2014-04-23	CC BY-NC-ND
10.1101/004457	2014-04-24	None
10.1101/004465	2014-04-23	CC BY-ND
10.1101/004473	2015-04-26	None
10.1101/004481	2014-07-21	CC BY-NC-ND
10.1101/004499	2014-04-24	CC BY-NC
10.1101/004507	2014-10-27	CC BY
10.1101/004556	2014-04-25	None
10.1101/004564	2014-08-04	CC BY
10.1101/004572	2014-11-24	CC BY-NC
10.1101/004580	2014-04-28	None
10.1101/004614	2014-04-29	None
10.1101/004622	2014-04-29	None
10.1101/004648	2014-04-30	None
10.1101/004655	2014-04-30	None
10.1101/004663	2014-04-30	None
10.1101/004671	2014-07-10	CC BY-NC-ND
10.1101/004689	2014-05-01	CC BY-NC-ND
10.1101/004705	2014-05-03	CC BY-NC
10.1101/004713	2014-05-04	None
10.1101/004739	2014-05-05	None
10.1101/004747	2014-05-05	CC BY
10.1101/004762	2014-09-15	None
10.1101/004788	2014-05-06	CC BY-NC-ND
10.1101/004796	2014-05-06	None
10.1101/004804	2014-05-06	CC BY-NC-ND
10.1101/004820	2014-05-07	None
10.1101/004846	2014-05-06	None
10.1101/004853	2014-05-06	CC BY-NC
10.1101/004861	2014-05-06	CC BY-NC-ND
10.1101/004887	2014-09-02	None
10.1101/004895	2014-05-07	None
10.1101/004903	2014-05-08	CC BY-NC-ND
10.1101/004911	2014-05-14	CC BY-ND
10.1101/004960	2014-05-09	None
10.1101/004978	2014-05-08	None
10.1101/004986	2014-05-09	CC BY-NC-ND
10.1101/004994	2014-06-03	None
10.1101/005009	2015-05-02	None
10.1101/005017	2014-05-09	CC BY-NC-ND
10.1101/005025	2014-05-11	None
10.1101/005033	2015-03-27	CC BY-ND
10.1101/005041	2014-06-23	CC BY
10.1101/005058	2014-05-12	CC BY
10.1101/005066	2014-05-12	None
10.1101/005074	2014-05-12	CC BY
10.1101/005082	2014-09-03	CC BY-NC-ND
10.1101/005090	2014-05-14	None
10.1101/005124	2014-05-13	CC BY
10.1101/005140	2014-06-05	CC BY-NC-ND
10.1101/005165	2014-05-14	CC BY-NC
10.1101/005173	2014-05-14	CC BY-NC-ND
10.1101/005181	2014-05-15	CC BY
10.1101/005207	2014-07-16	CC BY-NC-ND
10.1101/005215	2014-05-19	CC BY
10.1101/005223	2014-05-19	CC BY-NC-ND
10.1101/005231	2014-05-16	CC BY-NC
10.1101/005249	2014-06-02	None
10.1101/005256	2014-05-16	CC BY-NC-ND
10.1101/005264	2015-06-15	CC BY-NC-ND
10.1101/005298	2014-05-19	CC BY-ND
10.1101/005314	2014-11-10	None
10.1101/005322	2014-05-19	CC BY-NC-ND
10.1101/005330	2014-05-21	CC BY-NC-ND
10.1101/005348	2014-05-23	CC BY-NC-ND
10.1101/005355	2014-05-21	None
10.1101/005363	2014-12-26	CC BY-NC-ND
10.1101/005371	2014-05-21	CC BY
10.1101/005397	2014-05-21	None
10.1101/005405	2014-06-13	None
10.1101/005413	2014-05-22	None
10.1101/005439	2014-05-22	CC BY-NC-ND
10.1101/005447	2014-08-29	CC BY-NC-ND
10.1101/005454	2014-05-24	CC BY-ND
10.1101/005462	2014-05-27	CC BY-NC
10.1101/005470	2014-06-26	None
10.1101/005496	2014-05-27	CC BY-NC
10.1101/005504	2014-05-27	CC BY-NC-ND
10.1101/005512	2014-05-28	CC BY-NC
10.1101/005538	2014-05-26	CC BY-NC-ND
10.1101/005546	2014-05-26	CC BY-ND
10.1101/005553	2015-09-19	CC BY-NC-ND
10.1101/005561	2014-11-10	None
10.1101/005579	2014-08-07	CC BY-ND
10.1101/005587	2014-06-22	CC BY
10.1101/005603	2014-05-27	CC BY-NC-ND
10.1101/005611	2014-05-28	CC BY-NC-ND
10.1101/005629	2014-05-28	CC BY-NC-ND
10.1101/005637	2014-09-03	CC BY-NC
10.1101/005645	2014-05-28	CC BY-NC
10.1101/005652	2014-05-28	None
10.1101/005660	2015-01-27	None
10.1101/005686	2014-09-12	None
10.1101/005694	2014-05-31	CC BY
10.1101/005702	2014-05-31	CC BY
10.1101/005710	2014-05-31	CC BY
10.1101/005728	2014-05-31	CC BY
10.1101/005736	2014-05-31	CC BY-NC-ND
10.1101/005751	2014-06-03	None
10.1101/005777	2014-06-04	CC BY-NC
10.1101/005793	2014-06-03	None
10.1101/005819	2014-09-11	CC BY
10.1101/005835	2014-06-03	None
10.1101/005850	2014-08-13	CC BY
10.1101/005868	2014-06-04	None
10.1101/005876	2014-06-26	CC BY-NC-ND
10.1101/005892	2014-06-04	None
10.1101/005900	2014-06-11	CC BY-NC
10.1101/005918	2014-06-04	None
10.1101/005926	2014-08-25	CC BY-NC-ND
10.1101/005934	2014-08-08	None
10.1101/005942	2014-06-24	CC BY
10.1101/005967	2014-06-06	CC BY
10.1101/005983	2014-06-06	CC BY
10.1101/005991	2014-06-06	CC BY-NC-ND
10.1101/006015	2014-12-12	CC BY
10.1101/006023	2014-08-25	CC BY-NC-ND
10.1101/006031	2014-06-06	CC BY-NC-ND
10.1101/006049	2014-06-06	CC BY-NC-ND
10.1101/006056	2014-06-06	CC BY-NC-ND
10.1101/006064	2014-09-10	CC BY-NC-ND
10.1101/006072	2014-06-07	CC BY-NC-ND
10.1101/006080	2014-06-07	CC BY
10.1101/006098	2014-07-25	CC BY-NC-ND
10.1101/006106	2014-06-09	CC BY-NC-ND
10.1101/006122	2014-12-17	None
10.1101/006130	2014-06-10	CC BY
10.1101/006148	2014-09-17	None
10.1101/006155	2015-03-10	CC BY-ND
10.1101/006163	2014-06-11	CC BY-NC
10.1101/006171	2014-08-12	CC BY-NC
10.1101/006205	2014-06-11	None
10.1101/006213	2014-06-20	CC BY-NC
10.1101/006221	2014-06-11	CC BY-NC-ND
10.1101/006247	2014-06-16	CC BY-ND
10.1101/006270	2014-06-12	CC BY-NC-ND
10.1101/006288	2014-06-13	CC BY
10.1101/006312	2014-06-13	CC BY
10.1101/006338	2014-06-13	CC BY
10.1101/006346	2016-02-02	None
10.1101/006353	2014-06-19	None
10.1101/006361	2014-06-23	CC BY-NC
10.1101/006387	2014-07-28	CC BY-NC-ND
10.1101/006395	2014-06-18	CC BY-NC
10.1101/006403	2014-06-19	CC BY-ND
10.1101/006411	2014-08-04	CC BY-NC-ND
10.1101/006437	2014-08-04	CC BY-NC-ND
10.1101/006445	2014-06-30	CC BY-NC-ND
10.1101/006452	2014-06-24	CC BY-NC-ND
10.1101/006478	2014-06-23	None
10.1101/006486	2014-06-24	CC BY
