doi	date	subjects	license	version
10.1101/027789	April 5, 2016	Genomics	CC BY-NC	4.0
10.1101/023358	April 5, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/046946	April 5, 2016	Ecology	CC BY-NC-ND	4.0
10.1101/046995	April 5, 2016	Genetics		
10.1101/047100	April 5, 2016	Bioinformatics		
10.1101/047167	April 5, 2016	Microbiology	CC BY	4.0
10.1101/047019	April 5, 2016	Evolutionary Biology	CC BY	4.0
10.1101/047050	April 5, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/047175	April 5, 2016	Ecology	CC BY-NC-ND	4.0
10.1101/046961	April 5, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/046953	April 5, 2016	Genomics		
10.1101/046755	April 5, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/047043	April 4, 2016	Systems Biology		
10.1101/034645	April 4, 2016	Animal Behavior and Cognition,Evolutionary Biology,Genetics,Genomics,Neuroscience	CC BY	4.0
10.1101/047001	April 4, 2016	Molecular Biology	CC BY	4.0
10.1101/046144	April 4, 2016	Neuroscience	CC BY-NC-ND	4.0
10.1101/045757	April 4, 2016	Microbiology		
10.1101/034413	April 4, 2016	Animal Behavior and Cognition,Evolutionary Biology,Genetics,Genomics,Neuroscience	CC BY	4.0
10.1101/045104	April 4, 2016	Neuroscience	CC BY	4.0
10.1101/032367	April 4, 2016	Cancer Biology	CC BY-NC-ND	4.0
10.1101/020479	April 4, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/047142	April 4, 2016	Genomics	CC BY	4.0
10.1101/047134	April 4, 2016	Genomics	CC BY-ND	4.0
10.1101/021980	April 4, 2016	Bioinformatics		
10.1101/046904	April 3, 2016	Bioinformatics	CC BY-NC	4.0
10.1101/046896	April 3, 2016	Pathology	CC BY-NC	4.0
10.1101/046912	April 3, 2016	Genetics	CC BY	4.0
10.1101/046870	April 3, 2016	Immunology		
10.1101/046888	April 3, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/046565	April 3, 2016	Bioinformatics		
10.1101/046920	April 3, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/033167	April 3, 2016	Genetics	CC BY-ND	4.0
10.1101/046839	April 2, 2016	Plant Biology		
10.1101/046813	April 2, 2016	Systems Biology		
10.1101/046821	April 2, 2016	Neuroscience	CC BY-NC	4.0
10.1101/046714	April 2, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/046722	April 2, 2016	Neuroscience	CC BY-ND	4.0
10.1101/046805	April 2, 2016	Evolutionary Biology	CC BY-ND	4.0
10.1101/046474	April 2, 2016	Molecular Biology	CC BY-NC-ND	4.0
10.1101/046847	April 2, 2016	Evolutionary Biology	CC BY	4.0
10.1101/046730	April 2, 2016	Biochemistry	CC BY-NC-ND	4.0
10.1101/044164	April 1, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/028068	April 1, 2016	Genomics		
10.1101/038356	April 1, 2016	Bioinformatics	CC BY-NC	4.0
10.1101/046748	April 1, 2016	Genomics	CC BY-NC	4.0
10.1101/043224	April 1, 2016	Neuroscience	CC BY-ND	4.0
10.1101/046516	March 31, 2016	Neuroscience	CC BY-ND	4.0
10.1101/046490	March 31, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/041343	March 31, 2016	Bioinformatics		
10.1101/046581	March 31, 2016	Neuroscience	CC BY	4.0
10.1101/046573	March 31, 2016	Neuroscience	CC BY	4.0
10.1101/046664	March 31, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/046482	March 31, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/046649	March 31, 2016	Genetics	CC BY-ND	4.0
10.1101/046524	March 31, 2016	Ecology	CC BY	4.0
10.1101/046557	March 31, 2016	Ecology		
10.1101/046599	March 31, 2016	Microbiology		
10.1101/046532	March 31, 2016	Bioinformatics	CC BY	4.0
10.1101/046631	March 31, 2016	Bioinformatics	CC BY-NC	4.0
10.1101/046656	March 31, 2016	Plant Biology	CC BY-NC-ND	4.0
10.1101/046607	March 31, 2016	Immunology	CC BY-NC-ND	4.0
10.1101/046508	March 31, 2016	Bioinformatics	CC BY-NC	4.0
10.1101/046383	March 31, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/034223	March 31, 2016	Zoology	CC BY-NC-ND	4.0
10.1101/042622	March 31, 2016	Evolutionary Biology	CC BY	4.0
10.1101/044768	March 31, 2016	Genetics		
10.1101/046060	March 31, 2016	Synthetic Biology	CC BY-NC-ND	4.0
10.1101/038588	March 31, 2016	Ecology	CC BY	4.0
10.1101/046417	March 31, 2016	Genetics	CC BY-ND	4.0
10.1101/045732	March 31, 2016	Evolutionary Biology	CC BY-NC	4.0
10.1101/046391	March 31, 2016	Genomics	CC BY-NC	4.0
10.1101/046409	March 31, 2016	Evolutionary Biology	CC BY-NC	4.0
10.1101/046441	March 31, 2016	Neuroscience	CC BY-NC-ND	4.0
10.1101/046425	March 31, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/046375	March 31, 2016	Cell Biology	CC BY-NC-ND	4.0
10.1101/043018	March 30, 2016	Genetics		
10.1101/024778	March 30, 2016	Genomics		
10.1101/046334	March 30, 2016	Pathology	CC BY-ND	4.0
10.1101/037085	March 30, 2016	Neuroscience	CC BY-NC-ND	4.0
10.1101/046367	March 30, 2016	Biochemistry	CC BY-NC-ND	4.0
10.1101/046359	March 30, 2016	Neuroscience	CC BY-NC	4.0
10.1101/044594	March 30, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/046169	March 30, 2016	Microbiology	CC BY	4.0
10.1101/046300	March 30, 2016	Cell Biology		
10.1101/029629	March 30, 2016	Scientific Communication	CC BY	4.0
10.1101/046177	March 30, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/045682	March 30, 2016	Systems Biology		
10.1101/046276	March 30, 2016	Neuroscience		
10.1101/045377	March 30, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/034330	March 30, 2016	Bioinformatics	CC BY	4.0
10.1101/046151	March 30, 2016	Neuroscience	CC BY-NC-ND	4.0
10.1101/036004	March 29, 2016	Plant Biology	CC BY-NC-ND	4.0
10.1101/045690	March 29, 2016	Bioinformatics	CC BY	4.0
10.1101/046227	March 29, 2016	Genomics	CC BY	4.0
10.1101/046185	March 29, 2016	Pharmacology	CC BY	4.0
10.1101/046128	March 29, 2016	Genomics	CC BY	4.0
10.1101/046201	March 29, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/046243	March 29, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/046193	March 29, 2016	Bioengineering		
10.1101/030387	March 29, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/045534	March 29, 2016	Cancer Biology	CC BY	4.0
10.1101/034561	March 29, 2016	Neuroscience	CC BY	4.0
10.1101/045419	March 29, 2016	Evolutionary Biology		
10.1101/043430	March 29, 2016	Genomics		
10.1101/046102	March 29, 2016	Ecology	CC BY-ND	4.0
10.1101/046136	March 29, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/046110	March 29, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/041236	March 28, 2016	Bioinformatics	CC BY	4.0
10.1101/046094	March 28, 2016	Cell Biology	CC BY-NC-ND	4.0
10.1101/046037	March 28, 2016	Neuroscience		
10.1101/046086	March 28, 2016	Bioinformatics	CC BY	4.0
10.1101/046003	March 28, 2016	Cell Biology	CC BY-NC	4.0
10.1101/046052	March 28, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/046045	March 28, 2016	Ecology		
10.1101/027516	March 28, 2016	Neuroscience	CC BY	4.0
10.1101/045930	March 28, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/045948	March 28, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/045955	March 28, 2016	Biochemistry		
10.1101/045963	March 28, 2016	Neuroscience	CC BY-NC-ND	4.0
10.1101/045914	March 27, 2016	Genetics	CC BY-NC	4.0
10.1101/045153	March 27, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/045989	March 27, 2016	Neuroscience		
10.1101/042432	March 27, 2016	Biochemistry		
10.1101/045880	March 27, 2016	Plant Biology	CC BY	4.0
10.1101/045807	March 27, 2016	Evolutionary Biology		
10.1101/045898	March 27, 2016	Neuroscience	CC BY-NC	4.0
10.1101/045872	March 27, 2016	Developmental Biology	CC BY-NC-ND	4.0
10.1101/045823	March 27, 2016	Neuroscience	CC BY-NC-ND	4.0
10.1101/045864	March 27, 2016	Biophysics	CC BY-NC-ND	4.0
10.1101/033332	March 26, 2016	Systems Biology	CC BY-NC-ND	4.0
10.1101/034942	March 26, 2016	Bioinformatics	CC BY-NC-ND	4.0
10.1101/042143	March 26, 2016	Evolutionary Biology	CC BY	4.0
10.1101/042812	March 26, 2016	Microbiology	CC BY	4.0
10.1101/026450	March 26, 2016	Genetics		
10.1101/045559	March 26, 2016	Animal Behavior and Cognition	CC BY	4.0
10.1101/045799	March 26, 2016	Scientific Communication	CC BY-NC-ND	4.0
10.1101/029611	March 26, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/043604	March 26, 2016	Bioinformatics	CC BY-ND	4.0
10.1101/044693	March 26, 2016	Genomics	CC BY-NC-ND	4.0
10.1101/045351	March 26, 2016	Cell Biology		
10.1101/045773	March 25, 2016	Bioinformatics	CC BY	4.0
10.1101/045831	March 25, 2016	Genetics	CC BY-NC-ND	4.0
10.1101/045724	March 25, 2016	Evolutionary Biology		
10.1101/045765	March 25, 2016	Cell Biology	CC BY-NC-ND	4.0
10.1101/045781	March 25, 2016	Cell Biology		
10.1101/045716	March 25, 2016	Evolutionary Biology		
10.1101/045740	March 25, 2016	Evolutionary Biology		
10.1101/045005	March 25, 2016	Genomics		
10.1101/044891	March 25, 2016	Cancer Biology		
10.1101/045708	March 25, 2016	Microbiology	CC BY-NC-ND	4.0
10.1101/039578	March 25, 2016	Immunology	CC BY-ND	4.0
10.1101/045674	March 25, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/031666	March 24, 2016	Evolutionary Biology,Genetics		
10.1101/045633	March 24, 2016	Evolutionary Biology	CC BY-NC-ND	4.0
10.1101/045625	March 24, 2016	Genetics		
10.1101/043265	March 24, 2016	Ecology	CC BY	4.0
10.1101/045617	March 24, 2016	Developmental Biology		
