DOI	Author	Standard_Author
10.1101/051078	Eske Willerslev	Eske Willerslev
10.1101/051078	Jerome S Cybulski	Jerome Cybulski
10.1101/051078	John Lindo	John Lindo
10.1101/051078	Joycellyn Mitchell	Joycellyn Mitchell
10.1101/051078	Michael DeGiorgio	Michael DeGiorgio
10.1101/051078	Morten Rasmussen	Morten Rasmussen
10.1101/051078	Ripan S Malhi	Ripan Malhi
10.1101/051078	Shigeki Nakagome	Shigeki Nakagome
10.1101/051086	David Biron	David Biron
10.1101/051086	Erel Levine	Erel Levine
10.1101/051086	Kyung Suk Lee	Kyung Lee
10.1101/051086	Monika Scholz	Monika Scholz
10.1101/051086	Ronen Kopito	Ronen Kopito
10.1101/051086	Shachar Iwanir	Shachar Iwanir
10.1101/051094	Alkes Price	Alkes Price
10.1101/051094	Beate St. Pourcain	Beate St. Pourcain
10.1101/051094	Benjamin Elsworth	Benjamin Elsworth
10.1101/051094	Benjamin Neale	Benjamin Neale
10.1101/051094	Brendan Bulik-Sullivan	Brendan Bulik-Sullivan
10.1101/051094	Charles Laurin	Charles Laurin
10.1101/051094	David Evans	David Evans
10.1101/051094	Gibran Hemani	Gibran Hemani
10.1101/051094	Hilary Finucane	Hilary Finucane
10.1101/051094	JIE ZHENG	JIE ZHENG
10.1101/051094	Katherine Tansey	Katherine Tansey
10.1101/051094	Laurence Howe	Laurence Howe
10.1101/051094	Lavinia Paternoster	Lavinia Paternoster
10.1101/051094	Mesut Erzurumluoglu	Mesut Erzurumluoglu
10.1101/051094	Nicole Warrington	Nicole Warrington
10.1101/051094	Philip Haycock	Philip Haycock
10.1101/051094	Tom Gaunt	Tom Gaunt
10.1101/051094	Verneri Anttila	Verneri Anttila
10.1101/051102	Alina Liberman	Alina Liberman
10.1101/051102	Golijeh Golarai	Golijeh Golarai
10.1101/051102	Kalanit Grill-Spector	Kalanit Grill-Spector
10.1101/051102	Karen F LaRocque	Karen LaRocque
10.1101/051102	Mai Nguyen	Mai Nguyen
10.1101/051102	Mary E Smith	Mary Smith
10.1101/051102	Nathaniel Witthoft	Nathaniel Witthoft
10.1101/051102	Sonia Poltoratski	Sonia Poltoratski
10.1101/051110	Jesse Lasky	Jesse Lasky
10.1101/051110	Matthew Reimherr	Matthew Reimherr
10.1101/051136	Santiago Schnell	Santiago Schnell
10.1101/051136	Wylie Stroberg	Wylie Stroberg
10.1101/051151	Bruce McDonald	Bruce McDonald
10.1101/051151	D.A.S. Pereira	D.A.S. Pereira
10.1101/051151	E. Alves	E. Alves
10.1101/051151	J.L.N. Maciel	J.L.N. Maciel
10.1101/051151	P.C. Brunner	P.C. Brunner
10.1101/051151	P.C. Ceresini	P.C. Ceresini
10.1101/051151	P.W. Crous	P.W. Crous
10.1101/051151	S.I. Moreira	S.I. Moreira
10.1101/051151	S.S. Moreira	S.S. Moreira
10.1101/051151	V.L. Castroagudin	V.L. Castroagudin
10.1101/051169	Andrea Sanchez-Vallet	Andrea Sanchez-Vallet
10.1101/051169	Bruce McDonald	Bruce McDonald
10.1101/051169	Daniel Croll	Daniel Croll
10.1101/051169	Ethan L. Stewart	Ethan Stewart
10.1101/051169	Fanny E. Hartmann	Fanny Hartmann
10.1101/051169	Javier Palma-Guerrero	Javier Palma-Guerrero
10.1101/051169	Mark H. Lendenmann	Mark Lendenmann
10.1101/051169	Xin Ma	Xin Ma
10.1101/051177	Alan S Gamis	Alan Gamis
10.1101/051177	Alex Kentsis	Alex Kentsis
10.1101/051177	Bahar Yilmazel	Bahar Yilmazel
10.1101/051177	Dean Pavlick	Dean Pavlick
10.1101/051177	Eric Still	Eric Still
10.1101/051177	Esther Drill	Esther Drill
10.1101/051177	Fiona C Brown	Fiona Brown
10.1101/051177	Guido Marcucci	Guido Marcucci
10.1101/051177	Jie He	Jie He
10.1101/051177	John C Byrd	John Byrd
10.1101/051177	Kristina M Knapp	Kristina Knapp
10.1101/051177	Mithat Gonen	Mithat Gonen
10.1101/051177	Paolo Cifani	Paolo Cifani
10.1101/051177	Richard M Stone	Richard Stone
10.1101/051177	Ross L Levine	Ross Levine
10.1101/051177	Shan Zhong	Shan Zhong
10.1101/051177	Sohail Balasubramanian	Sohail Balasubramanian
10.1101/051177	Soheil Meshinchi	Soheil Meshinchi
10.1101/051177	Steven M Kornblau	Steven Kornblau
10.1101/051177	Todd A Alonzo	Todd Alonzo
10.1101/051185	Claus Wilke	Claus Wilke
10.1101/051185	Colin W. Brown	Colin Brown
10.1101/051185	Daniel R. Boutz	Daniel Boutz
10.1101/051185	Edward M. Marcotte	Edward Marcotte
10.1101/051185	Jeffrey E. Barrick	Jeffrey Barrick
10.1101/051185	Maria D. Person	Maria Person
10.1101/051185	Viswanadham Sridhara	Viswanadham Sridhara
10.1101/051193	Alden Y Huang	Alden Huang
10.1101/051193	Andrea T Fua	Andrea Fua
10.1101/051193	Anna Karydas	Anna Karydas
10.1101/051193	Bruce L Miller	Bruce Miller
10.1101/051193	Deepika Dokuru	Deepika Dokuru
10.1101/051193	Ed Lezcano	Ed Lezcano
10.1101/051193	Elliot W Swartz	Elliot Swartz
10.1101/051193	Farid F Chehab	Farid Chehab
10.1101/051193	Fuying Gao	Fuying Gao
10.1101/051193	Giovanni Coppola	Giovanni Coppola
10.1101/051193	Harry V Vinters	Harry Vinters
10.1101/051193	Jaeyun Baek	Jaeyun Baek
10.1101/051193	Jamie Fong	Jamie Fong
10.1101/051193	Jason A Chen	Jason Chen
10.1101/051193	Kevin Wojta	Kevin Wojta
10.1101/051193	Mochtar Pribadi	Mochtar Pribadi
10.1101/051193	Qing Wang	Qing Wang
10.1101/051193	Stephanie Ng	Stephanie Ng
10.1101/051193	Tanya S Kim	Tanya Kim
10.1101/051193	Zhongan Yang	Zhongan Yang
10.1101/051201	Jeffrey A Bilmes	Jeffrey Bilmes
10.1101/051201	Maxwell W Libbrecht	Maxwell Libbrecht
10.1101/051201	William Stafford Noble	William Noble
10.1101/051219	Gregory Pazour	Gregory Pazour
10.1101/051219	Hong Liu	Hong Liu
10.1101/051219	James Foster	James Foster
10.1101/051219	Jerome Strauss	Jerome Strauss
10.1101/051219	Junpin Liu	Junpin Liu
10.1101/051219	Ling Zhang	Ling Zhang
10.1101/051219	Maria Teves	Maria Teves
10.1101/051219	Rex Hess	Rex Hess
10.1101/051219	Wei Li	Wei Li
10.1101/051219	Yong Zhang	Yong Zhang
10.1101/051219	Zhengang Zhang	Zhengang Zhang
10.1101/051219	Zhibing Zhang	Zhibing Zhang
10.1101/051227	Dariusz Plewczynski	Dariusz Plewczynski
10.1101/051227	Grzegorz Bokota	Grzegorz Bokota
10.1101/051227	Marta Magnowska	Marta Magnowska
10.1101/051227	Matylda Roszkowska	Matylda Roszkowska
10.1101/051227	Micha ukasik	Micha ukasik
10.1101/051227	Tomasz Kusmierczyk	Tomasz Kusmierczyk
10.1101/051235	Chenxue Yang	Chenxue Yang
10.1101/051235	Chunying Wu	Chunying Wu
10.1101/051235	Douglas A. Schaefer	Douglas Schaefer
10.1101/051235	Douglas W. Yu	Douglas Yu
10.1101/051235	Viorel D. Popescu	Viorel Popescu
10.1101/051235	Weijie Liu	Weijie Liu
10.1101/051235	Xiaoyang Wang	Xiaoyang Wang
10.1101/051235	Yahan Yang	Yahan Yang
10.1101/051243	David Biron	David Biron
10.1101/051243	Dylan J Lynch	Dylan Lynch
10.1101/051243	Erel Levine	Erel Levine
10.1101/051243	Kyung Suk Lee	Kyung Lee
10.1101/051243	Monika Scholz	Monika Scholz
10.1101/051268	Amilcar Tanuri	Amilcar Tanuri
10.1101/051268	Ana Luiza Valadao	Ana Valadao
10.1101/051268	Erick C Loiola	Erick Loiola
10.1101/051268	Fabio L Monteiro	Fabio Monteiro
10.1101/051268	Loraine Campanati	Loraine Campanati
10.1101/051268	Luiza M Higa	Luiza Higa
10.1101/051268	Patricia P Garcez	Patricia Garcez
10.1101/051268	Paula Pezzuto	Paula Pezzuto
10.1101/051268	Renato Santana de Aguiar	Renato de Aguiar
10.1101/051268	Rodrigo Delvecchio	Rodrigo Delvecchio
10.1101/051268	Stevens Rehen	Stevens Rehen
10.1101/051276	Beomseok Seo	Beomseok Seo
10.1101/051276	Christian Braendle	Christian Braendle
10.1101/051276	Daniel E Cook	Daniel Cook
10.1101/051276	David Riccardi	David Riccardi
10.1101/051276	Erik Andersen	Erik Andersen
10.1101/051276	Jan Kammenga	Jan Kammenga
10.1101/051276	John Wang	John Wang
10.1101/051276	Junho Lee	Junho Lee
10.1101/051276	Leonid Kruglyak	Leonid Kruglyak
10.1101/051276	Luke M Noble	Luke Noble
10.1101/051276	Marie-Anne Felix	Marie-Anne Felix
10.1101/051276	Mark Alkema	Mark Alkema
10.1101/051276	Matthew V Rockman	Matthew Rockman
10.1101/051276	Robyn E Tanny	Robyn Tanny
10.1101/051276	Stefan Zdraljevic	Stefan Zdraljevic
10.1101/051292	Scott W Roy	Scott Roy
10.1101/051300	Benjamin de Bivort	Benjamin de Bivort
10.1101/051300	Jamey S Kain	Jamey Kain
10.1101/051300	Jeremy G Todd	Jeremy Todd
10.1101/051318	Aurel A Lazar	Aurel Lazar
10.1101/051318	Lev E Givon	Lev Givon
10.1101/051326	Andrew A. Lover	Andrew Lover
10.1101/051342	Alina Akhunova	Alina Akhunova
10.1101/051342	Eduard Akhunov	Eduard Akhunov
10.1101/051342	Shiaoman Chao	Shiaoman Chao
10.1101/051342	Wei Wang	Wei Wang
10.1101/051359	Biao WANG	Biao WANG
10.1101/051359	Ding YANG	Ding YANG
10.1101/051359	Jiang hong WU	Jiang WU
10.1101/051359	Lai DA	Lai DA
10.1101/051359	Rigele TE	Rigele TE
10.1101/051359	Shao yin FU	Shao FU
10.1101/051359	Weng guang ZHANG	Weng ZHANG
10.1101/051359	Xiao long HE	Xiao HE
10.1101/051359	Yong bin LIU	Yong bin LIU
10.1101/051359	Yun Xia QI	Yun QI
10.1101/051367	Leonid Borysenko	Leonid Borysenko
10.1101/051375	Andrea Finocchio	Andrea Finocchio
10.1101/051375	Andrea Novelletto	Andrea Novelletto
10.1101/051375	Aphrodite Loutradis	Aphrodite Loutradis
10.1101/051375	Carla Jodice	Carla Jodice
10.1101/051375	Emmanuel I. Michalodimitrakis	Emmanuel Michalodimitrakis
10.1101/051375	Francesco Messina	Francesco Messina
10.1101/051375	Nejat Akar	Nejat Akar
10.1101/051375	Radim Brdicka	Radim Brdicka
10.1101/051391	Maciej T Nogalski	Maciej Nogalski
10.1101/051391	Saisai Chen	Saisai Chen
10.1101/051391	Thomas Shenk	Thomas Shenk
10.1101/051409	Adam M Novak	Adam Novak
10.1101/051409	Benedict Paten	Benedict Paten
10.1101/051409	Erik Garrison	Erik Garrison
10.1101/051417	Akihiro Fujimoto	Akihiro Fujimoto
10.1101/051417	David H Phillips	David Phillips
10.1101/051417	Hidewaki Nakagawa	Hidewaki Nakagawa
10.1101/051417	Inigo Martincorena	Inigo Martincorena
10.1101/051417	Kerstin Haase	Kerstin Haase
10.1101/051417	Ludmil B Alexandrov	Ludmil Alexandrov
10.1101/051417	Michael R Stratton	Michael Stratton
10.1101/051417	Paolo Vineis	Paolo Vineis
10.1101/051417	Peter J Campbell	Peter Campbell
10.1101/051417	Peter Van Loo	Peter Van Loo
10.1101/051417	Serena Nik-Zainal	Serena Nik-Zainal
10.1101/051417	Tatsuhiro Shibata	Tatsuhiro Shibata
10.1101/051417	Yasushi Totoki	Yasushi Totoki
10.1101/051417	Young Seok Ju	Young Ju
10.1101/051425	Matti Myllykoski	Matti Myllykoski
10.1101/051425	Petri Kursula	Petri Kursula
10.1101/051425	Srinivas Kumar Ponna	Srinivas Ponna
10.1101/051425	Tobias M Boeckers	Tobias Boeckers
10.1101/051458	Alkes L. Price	Alkes Price
10.1101/051458	Carla Marquez-Luna	Carla Marquez-Luna
10.1101/051466	Aaron J Sams	Aaron Sams
10.1101/051466	Anne Dumaine	Anne Dumaine
10.1101/051466	Caroline Alfieri	Caroline Alfieri
10.1101/051466	Jerome E Tanner	Jerome Tanner
10.1101/051466	Johann Nedelec	Johann Nedelec
10.1101/051466	Luis B Barreiro	Luis Barreiro
10.1101/051466	Philipp W Messer	Philipp Messer
10.1101/051466	Vania Yotova	Vania Yotova
10.1101/051482	Holly K. Kindsvater	Holly Kindsvater
10.1101/051482	John D. Reynolds	John Reynolds
10.1101/051482	Nicholas K. Dulvy	Nicholas Dulvy
10.1101/051482	Sebastian A. Pardo	Sebastian Pardo
10.1101/051490	Euan A Ashley	Euan Ashley
10.1101/051490	Rachel L Goldfeder	Rachel Goldfeder
10.1101/051508	Camille Terfve	Camille Terfve
10.1101/051508	Eduard Sabido	Eduard Sabido
10.1101/051508	Emanuel Goncalves	Emanuel Goncalves
10.1101/051508	Julio Saez-Rodriguez	Julio Saez-Rodriguez
10.1101/051508	Meena Choi	Meena Choi
10.1101/051508	Olga Vitek	Olga Vitek
10.1101/051508	Ruedi Aebersold	Ruedi Aebersold
10.1101/051508	Stefania Vaga	Stefania Vaga
10.1101/051508	Yibo Wu	Yibo Wu
10.1101/051516	Jared T Simpson	Jared Simpson
10.1101/051516	Milan Malinsky	Milan Malinsky
10.1101/051516	Richard Durbin	Richard Durbin
10.1101/051524	Benjamin F Voight	Benjamin Voight
10.1101/051524	Casey S Greene	Casey Greene
10.1101/051532	Chih-hao Hsieh	Chih-hao Hsieh
10.1101/051532	George Sugihara	George Sugihara
10.1101/051532	Sarah Glaser	Sarah Glaser
10.1101/051532	Vasilis Dakos	Vasilis Dakos
10.1101/051557	Clara S Chan	Clara Chan
10.1101/051557	Gabriel Fields	Gabriel Fields
10.1101/051557	Irwin Jungreis	Irwin Jungreis
10.1101/051557	Manolis Kellis	Manolis Kellis
10.1101/051557	Michael F Lin	Michael Lin
10.1101/051557	Robert M Waterhouse	Robert Waterhouse
10.1101/051565	Alexander Gabel	Alexander Gabel
10.1101/051565	Hajk-Georg Drost	Hajk-Georg Drost
10.1101/051565	Ivo Grosse	Ivo Grosse
10.1101/051565	Marcel Quint	Marcel Quint
10.1101/051565	Tomislav Domazet-Loso	Tomislav Domazet-Loso
10.1101/051581	Joshua S Weitz	Joshua Weitz
10.1101/051581	Justin Romberg	Justin Romberg
10.1101/051581	Luis Jover	Luis Jover
10.1101/051599	Dragony Fu	Dragony Fu
10.1101/051599	James Miller	James Miller
10.1101/051599	Joshua Munger	Joshua Munger
10.1101/051599	Keith W Nehrke	Keith Nehrke
10.1101/051599	Paul S Brookes	Paul Brookes
10.1101/051599	Sergiy M Nadtochiy	Sergiy Nadtochiy
10.1101/051599	Xenia Schafer	Xenia Schafer
10.1101/051607	Aleksandra Berditchevskaia	Aleksandra Berditchevskaia
10.1101/051607	Romain Caze	Romain Caze
10.1101/051607	Simon R Schultz	Simon Schultz
10.1101/051623	Milner Kumar	Milner Kumar
10.1101/051623	Rhishikesh R Bargaje	Rhishikesh Bargaje
10.1101/051623	Sohan P Modak	Sohan Modak
10.1101/051631	Chiaowen Joyce Hsiao	Chiaowen Hsiao
10.1101/051631	Kushal K Dey	Kushal Dey
10.1101/051631	Matthew Stephens	Matthew Stephens
10.1101/051656	Fei He	Fei He
10.1101/051656	Sergei Maslov	Sergei Maslov
10.1101/051672	Gohta Goshima	Gohta Goshima
10.1101/051672	Takashi Moriwaki	Takashi Moriwaki
10.1101/051698	Evgeny Kulesskiy	Evgeny Kulesskiy
10.1101/051698	Jani Saarela	Jani Saarela
10.1101/051698	Jing Tang	Jing Tang
10.1101/051698	Krister Wennerberg	Krister Wennerberg
10.1101/051698	Laura Turunen	Laura Turunen
10.1101/051698	Liye He	Liye He
10.1101/051698	Tero Aittokallio	Tero Aittokallio
10.1101/051706	Abhaydeep Pandey	Abhaydeep Pandey
10.1101/051706	Balachandran Ravindran	Balachandran Ravindran
10.1101/051706	Bidyut K Das	Bidyut Das
10.1101/051706	Pravat Thatoi	Pravat Thatoi
10.1101/051706	Samanwoy Mukhopadhyay	Samanwoy Mukhopadhyay
10.1101/051706	Samsiddhi Bhattacharjee	Samsiddhi Bhattacharjee
10.1101/051706	Saroj Kant Mohapatra	Saroj Mohapatra
10.1101/051714	Paul Bays	Paul Bays
10.1101/051722	Alfonso Martinez Arias	Alfonso Arias
10.1101/051722	Alonso-Crisostomo Luz	Alonso-Crisostomo Luz
10.1101/051722	Carsten Gustavsen	Carsten Gustavsen
10.1101/051722	Cherise R Glodowski	Cherise Glodowski
10.1101/051722	Christian Schroter	Christian Schroter
10.1101/051722	David Andrew Turner	David Turner
10.1101/051722	Jerome Collignon	Jerome Collignon
10.1101/051722	Palle Serup	Palle Serup
10.1101/051722	Penny C Hayward	Penny Hayward
10.1101/051722	Peter Baillie-Johnson	Peter Baillie-Johnson
10.1101/051730	Brandon M Stell	Brandon Stell
10.1101/051730	Jorge Enrique Ramirez	Jorge Ramirez
10.1101/051755	Andreas Heger	Andreas Heger
10.1101/051755	Ian Sudbery	Ian Sudbery
10.1101/051755	Tom Sean Smith	Tom Smith
10.1101/051771	Catharine R Gale	Catharine Gale
10.1101/051771	David C Liewald	David Liewald
10.1101/051771	Elliot M Tucker-Drob	Elliot Tucker-Drob
10.1101/051771	Gail Davies	Gail Davies
10.1101/051771	Ian J Deary	Ian Deary
10.1101/051771	Joanna M Wardlaw	Joanna Wardlaw
10.1101/051771	Mark E Bastin	Mark Bastin
10.1101/051771	Saskia P Hagenaars	Saskia Hagenaars
10.1101/051771	Simon R Cox	Simon Cox
10.1101/051771	Stuart J Ritchie	Stuart Ritchie
10.1101/051789	Bennett L Leventhal	Bennett Leventhal
10.1101/051789	David O'Connor	David O'Connor
10.1101/051789	Enitan T Marcelle	Enitan Marcelle
10.1101/051789	Erica J Ho	Erica Ho
10.1101/051789	Francisco Xavier Castellanos	Francisco Castellanos
10.1101/051789	James J Hudziak	James Hudziak
10.1101/051789	Michael P Milham	Michael Milham
10.1101/051789	Nicholas Van Dam	Nicholas Van Dam
10.1101/051789	Richard Cameron Craddock	Richard Craddock
10.1101/051789	Russell H Tobe	Russell Tobe
10.1101/051789	Vilma Gabbay	Vilma Gabbay
10.1101/051805	B. B. Cael	B. Cael
10.1101/051805	Jennifer R Brum	Jennifer Brum
10.1101/051805	Jonathan Dushoff	Jonathan Dushoff
10.1101/051805	Joshua Weitz	Joshua Weitz
10.1101/051805	Stephen J Beckett	Stephen Beckett
10.1101/051813	Florian P Breitwieser	Florian Breitwieser
10.1101/051813	Jennifer Lu	Jennifer Lu
10.1101/051813	Peter Thielen	Peter Thielen
10.1101/051813	Steven L Salzberg	Steven Salzberg
10.1101/051821	Lillian K. Fritz-Laylin	Lillian Fritz-Laylin
10.1101/051821	R. Dyche Mullins	R. Mullins
10.1101/051821	Samuel J. Lord	Samuel Lord
10.1101/051839	Robert Law	Robert Law
10.1101/051839	Stephanie R Jones	Stephanie Jones
10.1101/051847	Richard Bonneau	Richard Bonneau
10.1101/051847	Tarmo Aijo	Tarmo Aijo
10.1101/051854	Agnes Jonas	Agnes Jonas
10.1101/051854	Andreas Futschik	Andreas Futschik
10.1101/051854	Carolin Kosiol	Carolin Kosiol
10.1101/051854	Christian Schlotterer	Christian Schlotterer
10.1101/051854	Thomas Taus	Thomas Taus
10.1101/051862	Alexandre V Morozov	Alexandre Morozov
10.1101/051862	Michael Manhart	Michael Manhart
10.1101/051862	Stevan A Springer	Stevan Springer
10.1101/051870	Anna C Schapiro	Anna Schapiro
10.1101/051870	Kenneth A Norman	Kenneth Norman
10.1101/051870	Matthew M Botvinick	Matthew Botvinick
10.1101/051870	Nicholas B Turk-Browne	Nicholas Turk-Browne
10.1101/051888	Naomi S Altman	Naomi Altman
10.1101/051888	Qingyu Wang	Qingyu Wang
10.1101/051888	Santhosh Girirajan	Santhosh Girirajan
10.1101/051888	Shashikant Cooduvalli	Shashikant Cooduvalli
10.1101/051904	Ariel L. Babierra	Ariel Babierra
10.1101/051904	Jerrold M. Tubay	Jerrold Tubay
10.1101/051904	Jomar F. Rabajante	Jomar Rabajante
10.1101/051904	Mark Jayson V. Cortez	Mark Cortez
10.1101/051912	Adam Ranson	Adam Ranson
10.1101/051912	Armin Lak	Armin Lak
10.1101/051912	Charu Bai Reddy	Charu Reddy
10.1101/051912	Christopher P Burgess	Christopher Burgess
10.1101/051912	Elina A K Jacobs	Elina Jacobs
10.1101/051912	Jennnifer F Linden	Jennnifer Linden
10.1101/051912	Joseph J Paton	Joseph Paton
10.1101/051912	Kenneth D Harris	Kenneth Harris
10.1101/051912	Matteo Carandini	Matteo Carandini
10.1101/051912	Miles Wells	Miles Wells
10.1101/051912	Nicholas Steinmetz	Nicholas Steinmetz
10.1101/051912	Sofia Soares	Sofia Soares
10.1101/051912	Sylvia Schroeder	Sylvia Schroeder
10.1101/051912	Zatka-Haas Peter	Zatka-Haas Peter
10.1101/051938	Allan B James	Allan James
10.1101/051938	Andrea Barta	Andrea Barta
10.1101/051938	Cristiane P G Calixto	Cristiane Calixto
10.1101/051938	Heribert Hirt	Heribert Hirt
10.1101/051938	Hugh G Nimmo	Hugh Nimmo
10.1101/051938	John W S Brown	John Brown
10.1101/051938	Maria Kalyna	Maria Kalyna
10.1101/051938	Mark Spensley	Mark Spensley
10.1101/051938	Nicolas Frei dit Frey	Nicolas Frey
10.1101/051938	Nikoleta A Tzioutziou	Nikoleta Tzioutziou
10.1101/051938	Peter Venhuizen	Peter Venhuizen
10.1101/051938	Runxuan Zhang	Runxuan Zhang
10.1101/051938	Wenbin Guo	Wenbin Guo
10.1101/051938	Yamile Marquez	Yamile Marquez
10.1101/051946	Daniel M. Tartakovsky	Daniel Tartakovsky
10.1101/051946	Justin G. Laughlin	Justin Laughlin
10.1101/051946	Krishna Sriram	Krishna Sriram
10.1101/051946	Padmini Rangamani	Padmini Rangamani
10.1101/051953	Antonis Rokas	Antonis Rokas
10.1101/051953	Juan F Ortiz	Juan Ortiz
10.1101/051979	David E. Weinstein	David Weinstein
10.1101/051979	Douglas A. Fitts	Douglas Fitts
10.1101/051979	Joseph L. Bryant	Joseph Bryant
10.1101/051979	Mary R. Hannaman	Mary Hannaman
10.1101/051979	Rose M. Doss	Rose Doss
10.1101/051995	Chunxuan Shao	Chunxuan Shao
10.1101/052001	Clara Esteban-Jurado	Clara Esteban-Jurado
10.1101/052001	Haiyuan Yu	Haiyuan Yu
10.1101/052001	Juan Felipe Beltran	Juan Beltran
10.1101/052001	Sebastia Franch-Exposito	Sebastia Franch-Exposito
10.1101/052001	Sergi Castellvi-Bel	Sergi Castellvi-Bel
10.1101/052001	Siwei Chen	Siwei Chen
10.1101/052001	Steven Lipkin	Steven Lipkin
10.1101/052001	Xiaomu Wei	Xiaomu Wei
10.1101/052019	Chaogu Zheng	Chaogu Zheng
10.1101/052019	Margarete Diaz-Cuadros	Margarete Diaz-Cuadros
10.1101/052019	Martin Chalfie	Martin Chalfie
10.1101/052027	Declan Clarke	Declan Clarke
10.1101/052027	Mark Gerstein	Mark Gerstein
10.1101/052027	Sushant Kumar	Sushant Kumar
10.1101/052035	Cameron A. Myhrvold	Cameron Myhrvold
10.1101/052035	Jessica K. Polka	Jessica Polka
10.1101/052035	Pamela A. Silver	Pamela Silver
10.1101/052043	Alan HB Wu	Alan Wu
10.1101/052043	Bernard Joseph Guglielmo	Bernard Guglielmo
10.1101/052043	Dalga Surofchy	Dalga Surofchy
10.1101/052043	Esteban G Burchard	Esteban Burchard
10.1101/052043	Janel Long-Boyle	Janel Long-Boyle
10.1101/052043	Joshua Galanter	Joshua Galanter
10.1101/052043	Kathy Giacomini	Kathy Giacomini
10.1101/052043	Megan Li	Megan Li
10.1101/052043	Pin Xiang	Pin Xiang
10.1101/052043	Sam Oh	Sam Oh
10.1101/052043	Su Guo	Su Guo
10.1101/052043	Tejal Desai	Tejal Desai
10.1101/052050	Jessica Crisci	Jessica Crisci
10.1101/052050	Matthew D Dean	Matthew Dean
10.1101/052050	Peter L. Ralph	Peter Ralph
10.1101/052068	Il-Youp Kwak	Il-Youp Kwak
10.1101/052068	Wei Pan	Wei Pan
10.1101/052076	Adriana Olar	Adriana Olar
10.1101/052076	Amy B. Heimberger	Amy Heimberger
10.1101/052076	Ana C. deCarvalho	Ana deCarvalho
10.1101/052076	Baoli Hu	Baoli Hu
10.1101/052076	Do-Hyun Nam	Do-Hyun Nam
10.1101/052076	Edward Chang	Edward Chang
10.1101/052076	Emmanuel Martinez-Ledesma	Emmanuel Martinez-Ledesma
10.1101/052076	Erik P. Sulman	Erik Sulman
10.1101/052076	Eskil Eskilsson	Eskil Eskilsson
10.1101/052076	Florian Muller	Florian Muller
10.1101/052076	Floris Barthel	Floris Barthel
10.1101/052076	Hoon Kim	Hoon Kim
10.1101/052076	Lisa Scarpace	Lisa Scarpace
10.1101/052076	Massimo Squatrito	Massimo Squatrito
10.1101/052076	Nikunj Satani	Nikunj Satani
10.1101/052076	Qianghu Wang	Qianghu Wang
10.1101/052076	Roel G.W. Verhaak	Roel Verhaak
10.1101/052076	Siyuan Zheng	Siyuan Zheng
10.1101/052076	Tom Millelsen	Tom Millelsen
10.1101/052076	Xin Hu	Xin Hu
10.1101/052076	Yu-Hsi Lin	Yu-Hsi Lin
10.1101/052084	David Golan	David Golan
10.1101/052084	Evan A Boyle	Evan Boyle
10.1101/052084	Ghislain Rocheleau	Ghislain Rocheleau
10.1101/052084	Jonathan K Pritchard	Jonathan Pritchard
10.1101/052084	Kyle J Gaulton	Kyle Gaulton
10.1101/052084	Loic Yengo	Loic Yengo
10.1101/052084	Mark I McCarthy	Mark McCarthy
10.1101/052084	Natalie Telis	Natalie Telis
10.1101/052084	Philippe Froguel	Philippe Froguel
10.1101/052084	Yair Field	Yair Field
10.1101/052084	Ziyue Gao	Ziyue Gao
10.1101/052100	Giulio Caravagna	Giulio Caravagna
10.1101/052100	Guido Sanguinetti	Guido Sanguinetti
10.1101/052100	Luca Bortolussi	Luca Bortolussi
10.1101/052118	Anshul Kundaje	Anshul Kundaje
10.1101/052118	Emma Pierson	Emma Pierson
10.1101/052118	Pang Wei Koh	Pang Koh
10.1101/052126	Yuan-Ping Pang	Yuan-Ping Pang
10.1101/052134	Scott William Roy	Scott Roy
10.1101/052142	Jeff Johnston	Jeff Johnston
10.1101/052142	Julia Zeitlinger	Julia Zeitlinger
10.1101/052142	Nina Koenecke	Nina Koenecke
10.1101/052142	Qiye He	Qiye He
10.1101/052159	Abhyudai Singh	Abhyudai Singh
10.1101/052159	Mohammad Soltani	Mohammad Soltani
10.1101/052175	Amanda P. Smith	Amanda Smith
10.1101/052175	Amber M. Smith	Amber Smith
10.1101/052183	Alain Blateau	Alain Blateau
10.1101/052183	Andre Yebakima	Andre Yebakima
10.1101/052183	Beatrice Gaillard	Beatrice Gaillard
10.1101/052183	Benjamin Roche	Benjamin Roche
10.1101/052183	Bernard Cazelles	Bernard Cazelles
10.1101/052183	Didier Fontenille	Didier Fontenille
10.1101/052183	Frederic Simard	Frederic Simard
10.1101/052183	Lucas Leger	Lucas Leger
10.1101/052183	Manuel Etienne	Manuel Etienne
10.1101/052183	Marcel Salante	Marcel Salante
10.1101/052183	Martine Ledrans	Martine Ledrans
10.1101/052183	Renelise Moutenda	Renelise Moutenda
10.1101/052183	Thomas Sochaki	Thomas Sochaki
10.1101/052191	Gary S McDowell	Gary McDowell
10.1101/052191	Michael Levin	Michael Levin
10.1101/052191	Suvithan Rajadurai	Suvithan Rajadurai
10.1101/052209	A. Ercument Cicek	A. Cicek
10.1101/052209	Aaron Topol	Aaron Topol
10.1101/052209	Andrew Browne	Andrew Browne
10.1101/052209	Andrew Chess	Andrew Chess
10.1101/052209	Barbara K Lipska	Barbara Lipska
10.1101/052209	Ben Readhead	Ben Readhead
10.1101/052209	Benjamin A Logsdon	Benjamin Logsdon
